17,"Kumo Desu ga, Nani ka?",Action,Adventure,Comedy
18,Dragon Ball Kai,Action,Adventure,Comedy
19,Shaman King,Action,Adventure,Comedy
22,Golden Boy,Adventure,Comedy,Ecchi
24,Dragon Ball Super: Broly,Action,Adventure,Fantasy
25,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,Adventure,Comedy,Fantasy
27,Madan no Ou to Vanadis,Adventure,Fantasy,Romance
28,Berserk,Action,Adventure,Drama
30,Suisei no Gargantia,Action,Adventure,Sci-Fi
31,Detective Conan,Adventure,Comedy,Mystery
32,Ore dake Haireru Kakushi Dungeon,Action,Adventure,Fantasy
33,Naruto: Shippuuden Movie 6 - Road to Ninja,Action,Adventure,Fantasy
34,Wolf's Rain,Action,Adventure,Drama
36,Tales of Zestiria the Cross,Action,Adventure,Fantasy
38,Shoujo Shuumatsu Ryokou,Adventure,Mystery,Sci-Fi
39,Tsuki ga Michibiku Isekai Douchuu,Action,Adventure,Comedy
40,Little Witch Academia,Adventure,Comedy,Fantasy
41,Nejimaki Seirei Senki: Tenkyou no Alderamin,Action,Adventure,Fantasy
42,Soredemo Sekai wa Utsukushii,Adventure,Fantasy,Romance
43,Arifureta Shokugyou de Sekai Saikyou 2nd Season,Action,Adventure,Fantasy
44,Kino no Tabi: The Beautiful World,Action,Adventure,SliceofLife
45,Densetsu no Yuusha no Densetsu,Action,Adventure,Fantasy
46,Isekai Cheat Magician,Action,Adventure,Fantasy
47,Mushishi Zoku Shou,Adventure,Fantasy,Mystery
48,Deca-Dence,Action,Adventure,Sci-Fi
49,Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,Action,Adventure,Fantasy
50,Seirei Gensouki,Action,Adventure,Drama
51,Naruto: Shippuuden Movie 1,Action,Adventure,Fantasy
52,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,Action,Adventure,Fantasy
53,Kanata no Astra,Adventure,Mystery,Sci-Fi
55,Somali to Mori no Kamisama,Adventure,Drama,Fantasy
56,InuYasha: Kanketsu-hen,Action,Adventure,Comedy
57,Black Cat (TV),Adventure,Comedy,Sci-Fi
58,Bleach Movie 1: Memories of Nobody,Action,Adventure,Fantasy
59,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?,Adventure,Comedy,Fantasy
60,Persona 4 the Animation,Action,Adventure,Mystery
61,Zero kara Hajimeru Mahou no Sho,Action,Adventure,Fantasy
62,Made in Abyss: Retsujitsu no Ougonkyou,Adventure,Drama,Fantasy
63,Princess Connect! Re:Dive,Action,Adventure,Comedy
64,Pokemon Movie 01: Mewtwo no Gyakushuu,Action,Adventure,Comedy
65,Naruto: Shippuuden Movie 2 - Kizuna,Action,Adventure,Fantasy
66,Mushishi Zoku Shou 2nd Season,Adventure,Fantasy,Mystery
67,One Piece Film: Z,Action,Adventure,Fantasy
68,Neko no Ongaeshi,Adventure,Drama,Fantasy
69,Tate no Yuusha no Nariagari Season 3,Action,Adventure,Drama
71,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",Adventure,Fantasy,Romance
72,Saihate no Paladin,Action,Adventure,Fantasy
73,Shaman King (2021),Adventure,Comedy,Supernatural
74,Naruto: Shippuuden Movie 4 - The Lost Tower,Action,Adventure,Fantasy
75,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,Action,Adventure,Fantasy
76,Ryuugajou Nanana no Maizoukin,Adventure,Comedy,Mystery
77,Xian Wang de Richang Shenghuo,Adventure,Comedy,Fantasy
78,Shingeki no Bahamut: Virgin Soul,Action,Adventure,Fantasy
79,Goblin Slayer: Goblin's Crown,Action,Adventure,Fantasy
80,One Piece Film: Strong World,Action,Adventure,Fantasy
81,Naruto: Shippuuden Movie 5 - Blood Prison,Action,Adventure,Fantasy
82,Kurenai no Buta,Action,Adventure,Comedy
83,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,Action,Adventure,Fantasy
84,Tsubasa Chronicle,Action,Adventure,Fantasy
85,Pokemon: The Origin,Action,Adventure,Comedy
86,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,Action,Adventure,Fantasy
87,Ushio to Tora (TV),Action,Adventure,Comedy
88,Log Horizon: Entaku Houkai,Action,Adventure,Fantasy
89,Digimon Adventure 02,Action,Adventure,Comedy
90,Kamisama no Inai Nichiyoubi,Adventure,Fantasy,Mystery
91,"Maou-sama, Retry!",Action,Adventure,Fantasy
